id,image,CQ,AQ,HQ,VQ,model,prompt_version,raw
1,00001_stitched.jpg,0.29,0.55,0.33,-0.18,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.29,""AQ"":0.55,""HQ"":0.33,""VQ"":-0.18}"
7,00007_stitched.jpg,0.09,0.02,0.26,0.32,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.09,""AQ"":0.02,""HQ"":0.26,""VQ"":0.32}"
10,00010_stitched.jpg,0.02,0.48,0.38,0.32,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.02,""AQ"":0.48,""HQ"":0.38,""VQ"":0.32}"
16,00016_stitched.jpg,0.27,0.0,0.33,0.03,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.27,""AQ"":0.00,""HQ"":0.33,""VQ"":0.03}"
23,00023_stitched.jpg,0.05,-0.08,0.13,0.15,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.05,""AQ"":-0.08,""HQ"":0.13,""VQ"":0.15}"
26,00026_stitched.jpg,0.1,-0.27,0.17,0.26,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.10,""AQ"":-0.27,""HQ"":0.17,""VQ"":0.26}"
31,00031_stitched.jpg,0.26,0.14,0.03,-0.03,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.26,""AQ"":0.14,""HQ"":0.03,""VQ"":-0.03}"
36,00036_stitched.jpg,0.22,0.22,-0.07,0.04,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.22,""AQ"":0.22,""HQ"":-0.07,""VQ"":0.04}"
38,00038_stitched.jpg,0.31,0.16,0.24,0.26,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.31,""AQ"":0.16,""HQ"":0.24,""VQ"":0.26}"
40,00040_stitched.jpg,0.29,-0.09,-0.01,0.21,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.29,""AQ"":-0.09,""HQ"":-0.01,""VQ"":0.21}"
43,00043_stitched.jpg,0.22,-0.14,0.17,0.03,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.22,""AQ"":-0.14,""HQ"":0.17,""VQ"":0.03}"
47,00047_stitched.jpg,-0.3,-0.21,0.11,0.16,gpt-4.1-mini,anchor_prompt,"{""CQ"":-0.30,""AQ"":-0.21,""HQ"":0.11,""VQ"":0.16}"
50,00050_stitched.jpg,0.39,-0.21,-0.19,-0.19,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.39,""AQ"":-0.21,""HQ"":-0.19,""VQ"":-0.19}"
51,00051_stitched.jpg,0.29,0.12,-0.02,0.15,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.29,""AQ"":0.12,""HQ"":-0.02,""VQ"":0.15}"
53,00053_stitched.jpg,0.75,0.6,0.3,-0.15,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.75,""AQ"":0.60,""HQ"":0.30,""VQ"":-0.15}"
58,00058_stitched.jpg,-0.06,0.02,-0.01,0.03,gpt-4.1-mini,anchor_prompt,"{""CQ"":-0.06,""AQ"":0.02,""HQ"":-0.01,""VQ"":0.03}"
63,00063_stitched.jpg,0.16,0.11,-0.04,-0.22,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.16,""AQ"":0.11,""HQ"":-0.04,""VQ"":-0.22}"
67,00067_stitched.jpg,0.32,-0.04,0.06,0.03,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.32,""AQ"":-0.04,""HQ"":0.06,""VQ"":0.03}"
73,00073_stitched.jpg,0.21,0.31,-0.14,0.17,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.21,""AQ"":0.31,""HQ"":-0.14,""VQ"":0.17}"
80,00080_stitched.jpg,0.59,0.39,0.52,0.01,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.59,""AQ"":0.39,""HQ"":0.52,""VQ"":0.01}"
86,00086_stitched.jpg,-0.01,0.16,-0.0,0.4,gpt-4.1-mini,anchor_prompt,"{""CQ"":-0.01,""AQ"":0.16,""HQ"":-0.00,""VQ"":0.40}"
95,00095_stitched.jpg,0.71,0.2,0.24,-0.17,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.71,""AQ"":0.20,""HQ"":0.24,""VQ"":-0.17}"
99,00099_stitched.jpg,0.7,0.43,-0.07,-0.07,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.70,""AQ"":0.43,""HQ"":-0.07,""VQ"":-0.07}"
115,00115_stitched.jpg,0.72,-0.19,-0.11,-0.15,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.72,""AQ"":-0.19,""HQ"":-0.11,""VQ"":-0.15}"
120,00120_stitched.jpg,0.54,0.17,-0.22,-0.06,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.54,""AQ"":0.17,""HQ"":-0.22,""VQ"":-0.06}"
123,00123_stitched.jpg,0.92,0.6,0.2,-0.19,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.92,""AQ"":0.60,""HQ"":0.20,""VQ"":-0.19}"
124,00124_stitched.jpg,0.24,-0.04,0.08,0.15,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.24,""AQ"":-0.04,""HQ"":0.08,""VQ"":0.15}"
128,00128_stitched.jpg,0.2,0.18,-0.27,-0.01,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.20,""AQ"":0.18,""HQ"":-0.27,""VQ"":-0.01}"
133,00133_stitched.jpg,0.21,0.05,-0.11,0.4,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.21,""AQ"":0.05,""HQ"":-0.11,""VQ"":0.40}"
136,00136_stitched.jpg,0.34,-0.14,0.01,-0.09,gpt-4.1-mini,anchor_prompt,"{""CQ"":0.34,""AQ"":-0.14,""HQ"":0.01,""VQ"":-0.09}"
