id,image,CQ,AQ,HQ,VQ,model,prompt_version,raw
1,00001_stitched.jpg,0.51,0.43,0.6,0.02,gpt-4.1-mini,baseline,"{""CQ"":0.51,""AQ"":0.43,""HQ"":0.60,""VQ"":0.02}"
7,00007_stitched.jpg,-0.08,-0.28,0.49,0.1,gpt-4.1-mini,baseline,"{""CQ"":-0.08,""AQ"":-0.28,""HQ"":0.49,""VQ"":0.10}"
10,00010_stitched.jpg,-0.02,0.23,0.25,0.34,gpt-4.1-mini,baseline,"{""CQ"":-0.02,""AQ"":0.23,""HQ"":0.25,""VQ"":0.34}"
16,00016_stitched.jpg,0.07,0.17,0.28,0.05,gpt-4.1-mini,baseline,"{""CQ"":0.07,""AQ"":0.17,""HQ"":0.28,""VQ"":0.05}"
23,00023_stitched.jpg,0.16,-0.0,0.01,0.23,gpt-4.1-mini,baseline,"{""CQ"":0.16,""AQ"":-0.00,""HQ"":0.01,""VQ"":0.23}"
26,00026_stitched.jpg,-0.09,0.03,-0.14,0.13,gpt-4.1-mini,baseline,"{""CQ"":-0.09,""AQ"":0.03,""HQ"":-0.14,""VQ"":0.13}"
31,00031_stitched.jpg,0.05,0.02,0.24,0.04,gpt-4.1-mini,baseline,"{""CQ"":0.05,""AQ"":0.02,""HQ"":0.24,""VQ"":0.04}"
36,00036_stitched.jpg,0.04,0.23,0.13,0.09,gpt-4.1-mini,baseline,"{""CQ"":0.04,""AQ"":0.23,""HQ"":0.13,""VQ"":0.09}"
38,00038_stitched.jpg,0.25,0.08,0.04,0.4,gpt-4.1-mini,baseline,"{""CQ"":0.25,""AQ"":0.08,""HQ"":0.04,""VQ"":0.40}"
40,00040_stitched.jpg,0.22,-0.13,0.05,0.03,gpt-4.1-mini,baseline,"{""CQ"":0.22,""AQ"":-0.13,""HQ"":0.05,""VQ"":0.03}"
43,00043_stitched.jpg,0.2,-0.2,-0.05,0.13,gpt-4.1-mini,baseline,"{""CQ"":0.20,""AQ"":-0.20,""HQ"":-0.05,""VQ"":0.13}"
47,00047_stitched.jpg,-0.17,-0.22,-0.09,0.07,gpt-4.1-mini,baseline,"{""CQ"":-0.17,""AQ"":-0.22,""HQ"":-0.09,""VQ"":0.07}"
50,00050_stitched.jpg,0.19,-0.14,-0.12,-0.02,gpt-4.1-mini,baseline,"{""CQ"":0.19,""AQ"":-0.14,""HQ"":-0.12,""VQ"":-0.02}"
51,00051_stitched.jpg,0.23,0.35,0.17,0.25,gpt-4.1-mini,baseline,"{""CQ"":0.23,""AQ"":0.35,""HQ"":0.17,""VQ"":0.25}"
53,00053_stitched.jpg,0.62,0.34,0.28,-0.0,gpt-4.1-mini,baseline,"{""CQ"":0.62,""AQ"":0.34,""HQ"":0.28,""VQ"":-0.00}"
58,00058_stitched.jpg,0.01,0.0,0.02,0.13,gpt-4.1-mini,baseline,"{""CQ"":0.01,""AQ"":0.00,""HQ"":0.02,""VQ"":0.13}"
63,00063_stitched.jpg,0.12,0.0,0.07,-0.02,gpt-4.1-mini,baseline,"{""CQ"":0.12,""AQ"":0.00,""HQ"":0.07,""VQ"":-0.02}"
67,00067_stitched.jpg,0.33,-0.03,-0.13,-0.05,gpt-4.1-mini,baseline,"{""CQ"":0.33,""AQ"":-0.03,""HQ"":-0.13,""VQ"":-0.05}"
73,00073_stitched.jpg,0.23,0.3,0.14,0.23,gpt-4.1-mini,baseline,"{""CQ"":0.23,""AQ"":0.30,""HQ"":0.14,""VQ"":0.23}"
80,00080_stitched.jpg,0.38,0.37,0.04,0.01,gpt-4.1-mini,baseline,"{""CQ"":0.38,""AQ"":0.37,""HQ"":0.04,""VQ"":0.01}"
86,00086_stitched.jpg,0.05,0.01,0.3,0.13,gpt-4.1-mini,baseline,"{""CQ"":0.05,""AQ"":0.01,""HQ"":0.30,""VQ"":0.13}"
