id,image,CQ,AQ,HQ,VQ,model,prompt_version,raw
1,00001_stitched.jpg,0.25,0.21,0.01,-0.03,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.25,""AQ"":0.21,""HQ"":0.01,""VQ"":-0.03}"
7,00007_stitched.jpg,-0.09,0.42,0.28,0.12,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.09,""AQ"":0.42,""HQ"":0.28,""VQ"":0.12}"
10,00010_stitched.jpg,0.09,0.26,0.15,0.24,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.09,""AQ"":0.26,""HQ"":0.15,""VQ"":0.24}"
16,00016_stitched.jpg,0.13,0.18,0.17,-0.12,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.13,""AQ"":0.18,""HQ"":0.17,""VQ"":-0.12}"
23,00023_stitched.jpg,0.06,-0.29,0.02,0.12,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.06,""AQ"":-0.29,""HQ"":0.02,""VQ"":0.12}"
26,00026_stitched.jpg,-0.04,-0.11,0.19,0.36,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.04,""AQ"":-0.11,""HQ"":0.19,""VQ"":0.36}"
31,00031_stitched.jpg,0.21,-0.05,0.01,0.1,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.21,""AQ"":-0.05,""HQ"":0.01,""VQ"":0.10}"
36,00036_stitched.jpg,0.62,0.3,0.34,0.31,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.62,""AQ"":0.30,""HQ"":0.34,""VQ"":0.31}"
38,00038_stitched.jpg,0.11,-0.08,0.19,0.38,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.11,""AQ"":-0.08,""HQ"":0.19,""VQ"":0.38}"
40,00040_stitched.jpg,0.31,0.08,-0.06,0.09,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.31,""AQ"":0.08,""HQ"":-0.06,""VQ"":0.09}"
43,00043_stitched.jpg,0.03,0.37,0.1,0.29,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.03,""AQ"":0.37,""HQ"":0.10,""VQ"":0.29}"
47,00047_stitched.jpg,-0.05,-0.3,0.12,0.13,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.05,""AQ"":-0.30,""HQ"":0.12,""VQ"":0.13}"
50,00050_stitched.jpg,0.35,-0.56,-0.17,0.0,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.35,""AQ"":-0.56,""HQ"":-0.17,""VQ"":0.00}"
51,00051_stitched.jpg,0.06,0.09,-0.24,0.16,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.06,""AQ"":0.09,""HQ"":-0.24,""VQ"":0.16}"
53,00053_stitched.jpg,0.64,0.49,0.29,-0.05,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.64,""AQ"":0.49,""HQ"":0.29,""VQ"":-0.05}"
58,00058_stitched.jpg,-0.06,0.02,0.02,-0.01,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.06,""AQ"":0.02,""HQ"":0.02,""VQ"":-0.01}"
63,00063_stitched.jpg,-0.29,0.1,-0.1,-0.15,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.29,""AQ"":0.10,""HQ"":-0.10,""VQ"":-0.15}"
67,00067_stitched.jpg,0.72,-0.13,-0.15,0.05,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.72,""AQ"":-0.13,""HQ"":-0.15,""VQ"":0.05}"
73,00073_stitched.jpg,0.03,0.24,-0.05,0.12,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.03,""AQ"":0.24,""HQ"":-0.05,""VQ"":0.12}"
80,00080_stitched.jpg,0.2,0.18,0.28,0.02,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.20,""AQ"":0.18,""HQ"":0.28,""VQ"":0.02}"
86,00086_stitched.jpg,0.44,0.07,0.11,0.33,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.44,""AQ"":0.07,""HQ"":0.11,""VQ"":0.33}"
95,00095_stitched.jpg,1.06,-0.07,0.41,-0.03,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":1.06,""AQ"":-0.07,""HQ"":0.41,""VQ"":-0.03}"
99,00099_stitched.jpg,0.63,0.36,0.41,-0.02,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.63,""AQ"":0.36,""HQ"":0.41,""VQ"":-0.02}"
115,00115_stitched.jpg,0.79,-0.36,0.04,-0.24,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.79,""AQ"":-0.36,""HQ"":0.04,""VQ"":-0.24}"
120,00120_stitched.jpg,0.82,0.16,0.15,0.08,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.82,""AQ"":0.16,""HQ"":0.15,""VQ"":0.08}"
123,00123_stitched.jpg,0.48,0.32,0.12,-0.08,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.48,""AQ"":0.32,""HQ"":0.12,""VQ"":-0.08}"
124,00124_stitched.jpg,0.3,0.12,-0.04,-0.06,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.30,""AQ"":0.12,""HQ"":-0.04,""VQ"":-0.06}"
128,00128_stitched.jpg,-0.55,-0.08,-0.29,-0.05,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.55,""AQ"":-0.08,""HQ"":-0.29,""VQ"":-0.05}"
133,00133_stitched.jpg,0.27,0.04,-0.02,0.07,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.27,""AQ"":0.04,""HQ"":-0.02,""VQ"":0.07}"
136,00136_stitched.jpg,0.01,-0.02,0.01,-0.02,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.01,""AQ"":-0.02,""HQ"":0.01,""VQ"":-0.02}"
141,00141_stitched.jpg,-0.3,0.13,0.04,0.07,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.30,""AQ"":0.13,""HQ"":0.04,""VQ"":0.07}"
