id,image,CQ,AQ,HQ,VQ,model,prompt_version,raw
1,00001_stitched.jpg,0.3,0.25,0.1,-0.09,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.30,""AQ"":0.25,""HQ"":0.10,""VQ"":-0.09}"
7,00007_stitched.jpg,-0.1,0.46,0.3,0.03,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.10,""AQ"":0.46,""HQ"":0.30,""VQ"":0.03}"
10,00010_stitched.jpg,0.16,0.24,0.1,0.33,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.16,""AQ"":0.24,""HQ"":0.10,""VQ"":0.33}"
16,00016_stitched.jpg,0.17,0.21,0.2,-0.14,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.17,""AQ"":0.21,""HQ"":0.20,""VQ"":-0.14}"
23,00023_stitched.jpg,-0.02,-0.39,-0.02,0.19,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.02,""AQ"":-0.39,""HQ"":-0.02,""VQ"":0.19}"
26,00026_stitched.jpg,0.06,-0.17,0.29,0.4,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.06,""AQ"":-0.17,""HQ"":0.29,""VQ"":0.40}"
31,00031_stitched.jpg,0.26,-0.04,-0.01,0.04,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.26,""AQ"":-0.04,""HQ"":-0.01,""VQ"":0.04}"
36,00036_stitched.jpg,0.68,0.23,0.38,0.25,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.68,""AQ"":0.23,""HQ"":0.38,""VQ"":0.25}"
38,00038_stitched.jpg,0.04,-0.15,0.09,0.44,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.04,""AQ"":-0.15,""HQ"":0.09,""VQ"":0.44}"
40,00040_stitched.jpg,0.3,0.15,-0.08,0.04,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.30,""AQ"":0.15,""HQ"":-0.08,""VQ"":0.04}"
43,00043_stitched.jpg,0.0,0.47,0.18,0.37,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.00,""AQ"":0.47,""HQ"":0.18,""VQ"":0.37}"
47,00047_stitched.jpg,0.04,-0.29,0.14,0.06,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.04,""AQ"":-0.29,""HQ"":0.14,""VQ"":0.06}"
50,00050_stitched.jpg,0.38,-0.49,-0.18,0.04,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.38,""AQ"":-0.49,""HQ"":-0.18,""VQ"":0.04}"
51,00051_stitched.jpg,0.12,0.19,-0.15,0.22,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.12,""AQ"":0.19,""HQ"":-0.15,""VQ"":0.22}"
53,00053_stitched.jpg,0.63,0.42,0.36,-0.1,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.63,""AQ"":0.42,""HQ"":0.36,""VQ"":-0.10}"
