id,image,CQ,AQ,HQ,VQ,model,prompt_version,raw
1,00001_stitched.jpg,0.29,0.24,-0.07,-0.08,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.29,""AQ"":0.24,""HQ"":-0.07,""VQ"":-0.08}"
7,00007_stitched.jpg,-0.18,0.47,0.25,0.11,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.18,""AQ"":0.47,""HQ"":0.25,""VQ"":0.11}"
10,00010_stitched.jpg,0.03,0.25,0.15,0.24,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.03,""AQ"":0.25,""HQ"":0.15,""VQ"":0.24}"
16,00016_stitched.jpg,0.07,0.12,0.25,-0.06,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.07,""AQ"":0.12,""HQ"":0.25,""VQ"":-0.06}"
23,00023_stitched.jpg,-0.0,-0.27,0.09,0.21,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.00,""AQ"":-0.27,""HQ"":0.09,""VQ"":0.21}"
26,00026_stitched.jpg,0.02,-0.18,0.24,0.44,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.02,""AQ"":-0.18,""HQ"":0.24,""VQ"":0.44}"
31,00031_stitched.jpg,0.29,-0.03,-0.07,0.1,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.29,""AQ"":-0.03,""HQ"":-0.07,""VQ"":0.10}"
36,00036_stitched.jpg,0.58,0.33,0.33,0.35,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.58,""AQ"":0.33,""HQ"":0.33,""VQ"":0.35}"
38,00038_stitched.jpg,0.17,-0.05,0.16,0.33,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.17,""AQ"":-0.05,""HQ"":0.16,""VQ"":0.33}"
40,00040_stitched.jpg,0.39,0.05,0.04,0.1,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.39,""AQ"":0.05,""HQ"":0.04,""VQ"":0.10}"
43,00043_stitched.jpg,0.03,0.35,0.18,0.23,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.03,""AQ"":0.35,""HQ"":0.18,""VQ"":0.23}"
47,00047_stitched.jpg,-0.1,-0.35,0.2,0.05,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.10,""AQ"":-0.35,""HQ"":0.20,""VQ"":0.05}"
50,00050_stitched.jpg,0.41,-0.5,-0.1,-0.08,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.41,""AQ"":-0.50,""HQ"":-0.10,""VQ"":-0.08}"
51,00051_stitched.jpg,0.0,0.13,-0.19,0.22,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.00,""AQ"":0.13,""HQ"":-0.19,""VQ"":0.22}"
53,00053_stitched.jpg,0.69,0.53,0.33,-0.09,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.69,""AQ"":0.53,""HQ"":0.33,""VQ"":-0.09}"
58,00058_stitched.jpg,-0.03,0.11,0.03,0.08,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.03,""AQ"":0.11,""HQ"":0.03,""VQ"":0.08}"
63,00063_stitched.jpg,-0.2,0.18,-0.08,-0.11,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":-0.20,""AQ"":0.18,""HQ"":-0.08,""VQ"":-0.11}"
67,00067_stitched.jpg,0.67,-0.14,-0.15,0.07,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.67,""AQ"":-0.14,""HQ"":-0.15,""VQ"":0.07}"
73,00073_stitched.jpg,0.09,0.29,-0.05,0.09,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.09,""AQ"":0.29,""HQ"":-0.05,""VQ"":0.09}"
80,00080_stitched.jpg,0.2,0.21,0.21,-0.0,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.20,""AQ"":0.21,""HQ"":0.21,""VQ"":-0.00}"
86,00086_stitched.jpg,0.39,0.08,0.06,0.39,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.39,""AQ"":0.08,""HQ"":0.06,""VQ"":0.39}"
95,00095_stitched.jpg,0.99,-0.14,0.36,-0.02,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.99,""AQ"":-0.14,""HQ"":0.36,""VQ"":-0.02}"
99,00099_stitched.jpg,0.63,0.36,0.38,0.02,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.63,""AQ"":0.36,""HQ"":0.38,""VQ"":0.02}"
115,00115_stitched.jpg,0.81,-0.42,0.03,-0.23,gpt-4.1-mini,explanatory_promoptA,"{""CQ"":0.81,""AQ"":-0.42,""HQ"":0.03,""VQ"":-0.23}"
