id,image,CQ,AQ,HQ,VQ,model,prompt_version,raw
1,00001_stitched.jpg,-0.16,0.46,-0.12,-0.05,gpt-4.1-mini,local_prompt,"{""CQ"":-0.16,""AQ"":0.46,""HQ"":-0.12,""VQ"":-0.05}"
7,00007_stitched.jpg,-0.23,-0.11,0.29,0.2,gpt-4.1-mini,local_prompt,"{""CQ"":-0.23,""AQ"":-0.11,""HQ"":0.29,""VQ"":0.20}"
10,00010_stitched.jpg,0.0,0.17,0.39,0.26,gpt-4.1-mini,local_prompt,"{""CQ"":0.00,""AQ"":0.17,""HQ"":0.39,""VQ"":0.26}"
16,00016_stitched.jpg,0.15,0.2,0.19,0.04,gpt-4.1-mini,local_prompt,"{""CQ"":0.15,""AQ"":0.20,""HQ"":0.19,""VQ"":0.04}"
23,00023_stitched.jpg,0.06,0.2,0.3,0.12,gpt-4.1-mini,local_prompt,"{""CQ"":0.06,""AQ"":0.20,""HQ"":0.30,""VQ"":0.12}"
26,00026_stitched.jpg,0.03,0.12,0.14,0.11,gpt-4.1-mini,local_prompt,"{""CQ"":0.03,""AQ"":0.12,""HQ"":0.14,""VQ"":0.11}"
31,00031_stitched.jpg,0.01,0.03,0.0,0.12,gpt-4.1-mini,local_prompt,"{""CQ"":0.01,""AQ"":0.03,""HQ"":0.00,""VQ"":0.12}"
36,00036_stitched.jpg,0.14,0.27,0.28,0.07,gpt-4.1-mini,local_prompt,"{""CQ"":0.14,""AQ"":0.27,""HQ"":0.28,""VQ"":0.07}"
38,00038_stitched.jpg,0.27,0.09,0.04,0.01,gpt-4.1-mini,local_prompt,"{""CQ"":0.27,""AQ"":0.09,""HQ"":0.04,""VQ"":0.01}"
40,00040_stitched.jpg,0.34,-0.31,-0.03,0.03,gpt-4.1-mini,local_prompt,"{""CQ"":0.34,""AQ"":-0.31,""HQ"":-0.03,""VQ"":0.03}"
43,00043_stitched.jpg,0.02,0.27,0.08,0.09,gpt-4.1-mini,local_prompt,"{""CQ"":0.02,""AQ"":0.27,""HQ"":0.08,""VQ"":0.09}"
47,00047_stitched.jpg,-0.01,-0.4,0.13,0.2,gpt-4.1-mini,local_prompt,"{""CQ"":-0.01,""AQ"":-0.40,""HQ"":0.13,""VQ"":0.20}"
