target,feature,method,importance
CQ,D_H,linear_std_coef,0.0005436574966185706
CQ,EC,linear_std_coef,-0.008751955571143636
CQ,EO,linear_std_coef,-0.002572857012980722
CQ,VE,linear_std_coef,0.007209745513863286
CQ,PH,linear_std_coef,-0.012552120785633508
CQ,WA,linear_std_coef,0.011175094683359256
CQ,NF,linear_std_coef,0.0042915578621914394
CQ,GLR,linear_std_coef,0.023910716003755793
CQ,VC,linear_std_coef,-0.00884866461449032
CQ,TDS,linear_std_coef,-0.0008513574805097904
CQ,TRS,linear_std_coef,-0.014716431141212976
CQ,TWS,linear_std_coef,-0.01301145450896719
CQ,D_H,rf_importance,0.12989767248191114
CQ,EC,rf_importance,0.0763392004811657
CQ,EO,rf_importance,0.04530956372205097
CQ,VE,rf_importance,0.09352239332400385
CQ,PH,rf_importance,0.023927520951297236
CQ,WA,rf_importance,0.1395794491846108
CQ,NF,rf_importance,0.025508516263130523
CQ,GLR,rf_importance,0.07895181332291332
CQ,VC,rf_importance,0.12623448237217305
CQ,TDS,rf_importance,0.02925224408458969
CQ,TRS,rf_importance,0.15301898047005918
CQ,TWS,rf_importance,0.07845816334209467
AQ,D_H,linear_std_coef,0.010701683564691755
AQ,EC,linear_std_coef,0.013673487140543793
AQ,EO,linear_std_coef,0.006400931081119127
AQ,VE,linear_std_coef,-0.02443153436717405
AQ,PH,linear_std_coef,0.01355770508591745
AQ,WA,linear_std_coef,-0.007603534264269886
AQ,NF,linear_std_coef,-0.0016080547038073852
AQ,GLR,linear_std_coef,0.01608327041696633
AQ,VC,linear_std_coef,-0.007409577027939239
AQ,TDS,linear_std_coef,-0.0003347033588115783
AQ,TRS,linear_std_coef,-0.002646386418799904
AQ,TWS,linear_std_coef,-0.0071258466251182245
AQ,D_H,rf_importance,0.1570538204456363
AQ,EC,rf_importance,0.0828646047496921
AQ,EO,rf_importance,0.050509091394080066
AQ,VE,rf_importance,0.10863164060278051
AQ,PH,rf_importance,0.023538350426217863
AQ,WA,rf_importance,0.12380527143332162
AQ,NF,rf_importance,0.03176364540666755
AQ,GLR,rf_importance,0.07105068579926653
AQ,VC,rf_importance,0.1453961857928136
AQ,TDS,rf_importance,0.01185224821303024
AQ,TRS,rf_importance,0.13840386974043312
AQ,TWS,rf_importance,0.055130585996060535
HQ,D_H,linear_std_coef,0.01658547173964086
HQ,EC,linear_std_coef,0.014258619234123394
HQ,EO,linear_std_coef,-0.006320313288714641
HQ,VE,linear_std_coef,-0.06384700268600534
HQ,PH,linear_std_coef,0.0034593890079850716
HQ,WA,linear_std_coef,-0.04713423135437213
HQ,NF,linear_std_coef,-0.01661698626784501
HQ,GLR,linear_std_coef,0.019464794306253065
HQ,VC,linear_std_coef,-0.012637966464744948
HQ,TDS,linear_std_coef,-0.0008277676269563567
HQ,TRS,linear_std_coef,0.008343478451547991
HQ,TWS,linear_std_coef,-0.03561102066416991
HQ,D_H,rf_importance,0.18756666084958662
HQ,EC,rf_importance,0.09671082744888941
HQ,EO,rf_importance,0.03942864764179255
HQ,VE,rf_importance,0.1121907443308434
HQ,PH,rf_importance,0.027232894128626898
HQ,WA,rf_importance,0.09706529463694774
HQ,NF,rf_importance,0.021787584706898355
HQ,GLR,rf_importance,0.06628948472241522
HQ,VC,rf_importance,0.1499366344724392
HQ,TDS,rf_importance,0.022202055777571065
HQ,TRS,rf_importance,0.09034625904764093
HQ,TWS,rf_importance,0.0892429122363486
VQ,D_H,linear_std_coef,0.008889798470362266
VQ,EC,linear_std_coef,0.006248483834999793
VQ,EO,linear_std_coef,0.0018308656118341013
VQ,VE,linear_std_coef,0.000923922712006581
VQ,PH,linear_std_coef,0.002090754061750276
VQ,WA,linear_std_coef,0.001829048131590098
VQ,NF,linear_std_coef,-0.00030077147425396674
VQ,GLR,linear_std_coef,-0.003533148150739525
VQ,VC,linear_std_coef,-0.004021456625257204
VQ,TDS,linear_std_coef,-0.004603014522721525
VQ,TRS,linear_std_coef,-0.0029755731856436467
VQ,TWS,linear_std_coef,-0.00724632062938612
VQ,D_H,rf_importance,0.1428437864171477
VQ,EC,rf_importance,0.09679811981722775
VQ,EO,rf_importance,0.05675593595595742
VQ,VE,rf_importance,0.09712855649854713
VQ,PH,rf_importance,0.012537802545645908
VQ,WA,rf_importance,0.09145474623874845
VQ,NF,rf_importance,0.02282727766011334
VQ,GLR,rf_importance,0.0861762017358832
VQ,VC,rf_importance,0.1559481737824004
VQ,TDS,rf_importance,0.02201937784310487
VQ,TRS,rf_importance,0.13788268303036277
VQ,TWS,rf_importance,0.07762733847486117
