model,target,train_size,mae,rmse,r2,spearman
random_forest,CQ,10,0.12478231453560923,0.16032872159786352,0.5352907640193951,0.7416731742952868
random_forest,AQ,10,0.11426241088692426,0.14343097140306577,0.46861989604517196,0.8071995364889035
random_forest,HQ,10,0.12004273726687929,0.1468006279726559,0.20744098358850283,0.5312794417714185
random_forest,VQ,10,0.06380091837918468,0.0820587585447836,0.35753304199855107,0.6561453006524423
mlp,CQ,10,0.26878788350573485,0.59464644492756,-5.392581863687561,0.7171876968032849
mlp,AQ,10,0.2055087017491659,0.3128758615933952,-1.5285033135748827,0.4672746051338892
mlp,HQ,10,0.21351665254997185,0.3203248710150735,-2.7736107822914127,0.2783031463334761
mlp,VQ,10,0.2099724473895915,0.4932921123096738,-22.217168571590904,-0.03774088722069678
xgboost,CQ,10,0.14415444842661862,0.18804180069332485,0.36075484158209625,0.6989394664584226
xgboost,AQ,10,0.13028026279374114,0.1631234865085351,0.31269041508949935,0.5488122528150742
xgboost,HQ,10,0.1326116440223568,0.1646940322351895,0.002457266389112367,0.4974431317228002
xgboost,VQ,10,0.07417743630378483,0.09251338628161362,0.18339869834255895,0.5477340856991713
lightgbm,CQ,10,0.1974312898497572,0.23629019380831806,-0.009369184277256526,
lightgbm,AQ,10,0.16327489131491482,0.19844214910396,-0.01715526972801995,
lightgbm,HQ,10,0.13290581676710703,0.1649158381342268,-0.0002314753244041512,
lightgbm,VQ,10,0.09031193422975052,0.10882525200689325,-0.12995272885029885,
random_forest,CQ,30,0.11810231600453698,0.15470287678527692,0.567331354377127,0.8097488475199637
random_forest,AQ,30,0.11199444934481276,0.14541941551986634,0.4537842742377317,0.7116356399727939
random_forest,HQ,30,0.09351650315710083,0.12227156029658266,0.45017220230229704,0.6784744439126382
random_forest,VQ,30,0.058678795449194694,0.07222756279704172,0.5022550833929091,0.7377534826309293
mlp,CQ,30,0.14381565022112044,0.20200761264762948,0.26227565248948104,0.7331989822908532
mlp,AQ,30,0.09498542972177464,0.11888524197846057,0.6349307092166949,0.7839937526765246
mlp,HQ,30,0.10988278965842894,0.16963664604238893,-0.05831545602320398,0.728483260699801
mlp,VQ,30,0.12483229398895458,0.19510434614587832,-2.6319076747052255,-0.053802554349195154
xgboost,CQ,30,0.1275548460271794,0.16064232632039993,0.533471033416058,0.764365065370179
xgboost,AQ,30,0.11538594347719933,0.14687693172847413,0.4427801321055599,0.654885759629191
xgboost,HQ,30,0.08553718833769186,0.11647497776180163,0.5010683475358876,0.703897019925939
xgboost,VQ,30,0.06595509053199014,0.08193687631590656,0.3594401425349174,0.6136937300047862
