model,target,mae,rmse,r2,spearman
random_forest,CQ,0.03299465408805034,0.05055726655247357,0.9498515538300607,0.9759349967272036
random_forest,AQ,0.036230817610062895,0.04846550049205616,0.9261003244819476,0.9703657948658332
random_forest,HQ,0.03294654088050314,0.04256218117351811,0.9106582052877206,0.9601849919849458
random_forest,VQ,0.014709119496855326,0.021328953707282005,0.9374565899253797,0.9696644816880619
mlp,CQ,0.06524720308689963,0.08774648246389924,0.8489399089349344,0.9272153477007425
mlp,AQ,0.04366421299909922,0.05505439229958461,0.9046411348577054,0.9519099000040199
mlp,HQ,0.04793326115226492,0.05900901784138458,0.8282709795305381,0.9049861875814919
mlp,VQ,0.04372844576169935,0.05464100123213084,0.5895315788913639,0.7890048085378722
xgboost,CQ,0.030931078262521693,0.04584514685537579,0.9587639509799925,0.9819921976094755
xgboost,AQ,0.02941392147913575,0.03839111342319494,0.9536298454827149,0.9769528660248692
xgboost,HQ,0.02748000980829293,0.03740124170748129,0.9310111410340947,0.9624078641191731
xgboost,VQ,0.014272237385025706,0.01982153340484217,0.9459846803014087,0.9685297164258193
lightgbm,CQ,0.03410343470630196,0.05076959967394158,0.9494294370017421,0.9751791064340748
lightgbm,AQ,0.028434973297295208,0.037579370396737,0.955570019061859,0.9794475869305487
lightgbm,HQ,0.031390404265729505,0.04634802076166079,0.894057722250024,0.9489345371015095
lightgbm,VQ,0.013987354969250302,0.019490879732416113,0.9477717665263299,0.9697502195078759
