id,D_H,EC,EO,VE,PH,WA,NF,GLR,VC,TDS,TRS,TWS
724,-0.005430669,-0.0024046951,0.0020153977,0.027087586,0.00054318015,-0.0062110294,0.00031639973,-0.055447754,-0.008628444,-0.0045894384,-0.010954297,0.14895603
2715,-0.0055841897,0.0097471215,0.0025542409,0.054631315,0.0028352565,0.0036188015,0.0003657523,0.1988025,0.006744393,-0.0022912617,-0.01549675,-0.03120119
31,-0.00478268,-0.003040332,-0.0059757223,-0.031363,-0.00013620588,0.010729508,0.0005780309,-0.12785771,0.018995943,-0.009536702,0.02775886,-0.04164907
2345,-0.012963159,-0.0075952187,0.002673696,-0.043141056,-0.0012813302,-0.014252253,-0.009753004,-0.15616556,0.0023167662,-0.009346755,-0.056737427,-0.014298903
2276,0.020818815,0.010050952,-0.0057511767,0.024588928,0.0024633883,0.0125006875,0.0007456795,0.13081717,0.0048614037,-0.0021950053,-0.04076068,0.01958519
464,0.04792223,0.01905127,-0.005344132,0.0019934485,0.006984306,0.01298081,0.00064788887,0.035983022,0.007672782,-0.003340836,-0.02284046,-0.02097767
1290,-0.011154788,0.0065574506,0.002954791,0.037425637,-0.0063325865,-0.009990195,0.00088102435,0.04568765,-0.00279517,0.006275521,0.012007561,0.08238057
3481,0.025798876,-0.0045225597,0.0087377075,-0.0026405558,0.003803688,0.009737743,0.00025431573,0.06359068,0.004154586,-0.003293499,-0.024789896,-0.025019469
3676,-0.0040756296,-0.013674158,0.0023108562,-0.028108476,-0.0005863988,-0.0027955999,-0.0008086501,-0.09877112,0.008553287,-0.0077941953,-0.02976084,-0.028661536
562,0.0016116565,-0.0008590783,-0.003856314,-0.02676191,0.0015262269,0.0017139069,0.0011671631,-0.09863303,0.011534382,-0.009786721,0.08013989,-0.05579105
43,0.017723862,-5.8022997e-05,0.008927108,0.06413192,0.0047320635,0.0034715359,0.0013982018,0.11235424,0.014840524,-0.002607938,-0.007433744,-0.02315048
3933,0.032234304,0.010116811,-0.0011271096,-0.0005421531,0.004153221,0.016473139,0.0010221637,0.07840282,0.0006474077,-0.0033437111,0.026718047,-0.027100325
436,0.003860349,0.00037316929,0.0029806164,-0.006688411,-0.006932855,-0.0033381986,0.00028407783,-0.060743246,-0.028308542,-0.007891458,0.040694438,-0.05266069
1643,-0.0036040505,-0.0053748176,0.00096406764,-0.031186983,0.024594313,0.0028207167,0.0003664427,-0.13558394,0.023349365,-0.008401908,0.034130946,-0.012540425
1932,0.00037778253,-0.0029135277,-0.0061428435,-0.029540636,-0.0007918677,0.007895684,-0.0012825713,-0.11961854,-0.02760891,-0.00723287,-0.036870975,-0.0076694055
3274,-0.005743927,0.0006835077,-0.005516379,-0.0022547513,-0.009669341,0.014273716,0.0004161269,0.045014378,-0.0071262517,-0.0039440244,0.016628124,-0.038406774
10,0.0078167245,-0.012820874,0.0034916755,0.04143222,0.001996073,-0.0020393135,-0.0038182165,0.06383983,-0.030102976,-0.002570436,-0.011696142,-0.029892208
841,0.00820684,0.013610445,0.0040184255,-0.010406947,0.0020494796,0.0066474145,0.007434403,-0.05875022,0.017919663,0.12386333,0.14053956,0.19294837
1429,0.0024886588,-0.008493991,0.0038929621,-0.013150046,-7.961132e-05,0.009002826,0.0010846924,-0.016794287,-0.018099248,-0.0051630554,-0.026580019,-0.026251234
3545,0.015547312,0.002182675,-0.0051614605,0.050538182,0.0025094538,0.009968322,0.00082093664,0.20295922,0.011649683,-0.002055591,-0.005918635,0.09894235
3613,-5.795551e-05,0.0020517434,-0.0022296985,0.029595675,0.0016272119,0.012658729,0.0006914694,0.18546052,0.0101549,-0.0022035602,0.004194832,0.03764751
3044,0.037875976,-0.0021827251,0.006900286,0.0016577542,0.0040695663,0.01692111,-0.0014453704,0.09981726,0.01599812,-0.002581803,0.0021676603,-0.028512474
573,0.0047393665,0.0022929704,-0.011096132,-0.0126664275,-0.023557752,0.0077569154,-0.00072710717,0.015614323,-0.019738816,-0.0037607597,-0.04086718,-0.029339736
760,-0.015796753,-0.005454142,0.0042281845,-0.0023667992,-0.0054043815,-0.012962951,-0.0006089174,-0.045189552,-0.011207473,-0.006251884,0.025059279,0.03165468
2356,-0.006464192,0.008488613,0.0028645648,0.04879313,-0.006122113,-0.017735085,0.000619864,0.07722149,-0.0049524135,-0.00280356,-0.033510752,0.041911747
3520,-0.007619059,-0.0035300988,0.0011987283,0.017330771,0.002062881,0.005602625,0.00097126095,0.047423724,-0.0074811173,-0.002515321,-0.055896163,0.054153133
970,0.06279888,0.013678532,0.003372664,0.07073798,0.004104039,0.012804533,0.0012935856,0.2224059,0.02054012,-0.0018986342,-0.009162986,-0.024618655
501,-0.003009772,-0.00035493638,0.0022361183,-0.021916093,0.0003131327,0.0016486221,2.985776e-05,-0.07761343,0.001513738,-0.0055276104,-0.042389315,0.12869087
1051,0.0061879866,-0.015382361,-0.013105525,-0.03459487,-0.0009800228,-0.0031221646,-2.0586544e-05,-0.061680324,-0.028880734,-0.0069916286,-0.01790628,-0.036800705
